计划,成分基金,受托人,基金类别,推出日期,基金规模百万港元,风险级别,最近期基金开支比率,历年回报_2025,历年回报_2024,历年回报_2023,历年回报_2022,历年回报_2021
交通银行愉盈退休强积金计划,"交通银行强积金保守基金
",交通,货币市场基金 — 强积金保守基金,01-12-2000,"1,788.26",1,0.93116,2.01,3.31,3.24,0.43,0.00
交通银行愉盈退休强积金计划,"交通银行北美股票成分基金
",交通,股票基金 - 美国股票基金,01-02-2023,330.00,n.a.,1.06137,15.51,21.94,n.a.,n.a.,n.a.
交通银行愉盈退休强积金计划,"交通银行平稳增长成分基金
",交通,混合资产基金 - 41% to 60% 股票,10-01-2006,675.14,4,1.53999,14.88,2.66,3.97,-16.63,-1.63
BCT（强积金）行业计划,"BCT（行业）65岁后基金
",银联信托,混合资产基金 - 预设投资策略-65岁后基金,01-04-2017,480.57,4,0.85349,7.08,3.81,8.40,-15.19,0.64
BCT（强积金）行业计划,"BCT（行业）亚洲股票基金
",银联信托,股票基金 - 亚洲股票基金,01-05-2004,603.42,5,1.74461,26.63,9.74,1.20,-22.73,1.54
BCT（强积金）行业计划,"BCT（行业）中国及香港股票基金
",银联信托,股票基金 - 香港股票基金,01-10-2002,942.89,6,1.67560,30.67,15.99,-16.26,-19.12,-16.08
BCT（强积金）行业计划,"BCT（行业）核心累积基金
",银联信托,混合资产基金 - 预设投资策略-核心累积基金,01-04-2017,849.45,4,0.85490,15.72,11.03,16.02,-16.61,9.95
BCT（强积金）行业计划,"BCT（行业）E30 混合资产基金
",银联信托,混合资产基金 - 21% to 40% 股票,01-12-2000,476.63,4,1.68707,10.71,1.57,5.26,-14.82,-2.90
BCT（强积金）行业计划,"BCT（行业）E50 混合资产基金
",银联信托,混合资产基金 - 41% to 60% 股票,01-12-2000,414.12,4,1.69870,14.70,3.85,5.14,-15.72,-1.89
BCT（强积金）行业计划,"BCT（行业）E70 混合资产基金
",银联信托,混合资产基金 - 61% to 80% 股票,01-12-2000,614.96,4,1.69592,18.94,6.22,5.07,-16.74,-0.95
BCT（强积金）行业计划,"BCT（行业）灵活混合资产基金
",银联信托,混合资产基金 - 未分类混合资产基金,01-08-2005,201.37,3,1.63473,8.29,2.79,3.25,-7.53,5.34
BCT（强积金）行业计划,"BCT（行业）环球债券基金
",银联信托,债券基金 - 环球债券基金,01-10-2002,163.07,4,1.58107,5.24,-3.54,2.34,-13.60,-4.31
BCT（强积金）行业计划,"BCT（行业）环球股票基金
",银联信托,股票基金 - 环球股票基金,01-10-2002,564.66,5,1.49977,18.67,16.88,18.42,-23.04,21.61
BCT（强积金）行业计划,"BCT（行业）强积金保守基金
",银联信托,货币市场基金 — 强积金保守基金,01-12-2000,"1,812.76",1,0.97483,2.10,3.33,3.04,0.32,0.00
BCT（强积金）行业计划,"BCT（行业）人民币债券基金
",银联信托,债券基金 - 人民币债券基金,04-03-2013,213.89,3,1.27371,5.89,0.96,2.53,-5.45,2.23
BCT积金之选,"BCT65岁后基金
",银联信托,混合资产基金 - 预设投资策略-65岁后基金,01-04-2017,"1,356.79",4,0.77716,7.10,3.85,8.44,-15.06,0.72
BCT积金之选,"BCT亚洲股票基金
",银联信托,股票基金 - 亚洲股票基金,01-05-2004,"5,857.89",5,1.60674,26.71,9.23,1.09,-22.59,-1.99
BCT积金之选,"BCT亚洲收益退休基金
",银联信托,混合资产基金 - 未分类混合资产基金,25-04-2022,545.88,3,1.56887,5.49,0.81,-1.79,n.a.,n.a.
BCT积金之选,"BCT中国及香港股票基金
",银联信托,股票基金 - 香港股票基金,01-01-2008,"9,231.18",6,1.48503,30.82,13.59,-16.04,-20.73,-16.21
BCT积金之选,"BCT核心累积基金
",银联信托,混合资产基金 - 预设投资策略-核心累积基金,01-04-2017,"5,892.36",4,0.77864,15.75,11.06,16.08,-16.51,9.98
BCT积金之选,"BCT E30 混合资产基金
",银联信托,混合资产基金 - 21% to 40% 股票,01-12-2000,"2,026.13",4,1.50039,10.80,1.50,5.36,-17.00,-3.35
BCT积金之选,"BCT E50 混合资产基金
",银联信托,混合资产基金 - 41% to 60% 股票,01-12-2000,"2,812.94",4,1.50375,14.96,4.35,5.62,-17.66,-1.54
BCT积金之选,"BCT E70 混合资产基金
",银联信托,混合资产基金 - 61% to 80% 股票,01-12-2000,"5,369.57",4,1.50659,19.30,7.21,5.88,-18.43,0.30
BCT积金之选,"BCT E90 混合资产基金
",银联信托,混合资产基金 - 81% to 100% 股票,27-10-2008,"1,118.98",5,1.50875,23.58,9.98,6.18,-19.08,2.32
BCT积金之选,"BCT欧洲股票基金
",银联信托,股票基金 - 欧洲股票基金,01-01-2008,"1,448.90",5,1.56831,24.47,-2.05,18.54,-14.01,15.22
BCT积金之选,"BCT灵活混合资产基金
",银联信托,混合资产基金 - 未分类混合资产基金,01-08-2005,"1,601.18",3,1.34922,8.53,3.07,3.52,-7.25,5.61
BCT积金之选,"BCT环球债券基金
",银联信托,债券基金 - 环球债券基金,01-10-2002,"1,900.98",4,1.44457,5.36,-2.63,4.95,-15.97,-6.07
BCT积金之选,"BCT环球股票基金
",银联信托,股票基金 - 环球股票基金,01-10-2002,"7,359.70",5,1.48709,19.15,15.21,19.00,-19.49,17.16
BCT积金之选,"BCT大中华股票基金
",银联信托,股票基金 - 大中华股票基金,28-06-2012,"2,460.47",6,1.11247,24.14,15.87,-2.55,-21.49,-6.59
BCT积金之选,"BCT恒指基金
",银联信托,股票基金 - 香港股票基金（追踪指数）,01-10-2009,"5,076.85",6,0.82718,30.20,21.83,-11.26,-13.27,-12.58
BCT积金之选,"BCT港元债券基金
",银联信托,债券基金 - 港元债券基金,01-10-2009,"1,383.73",3,1.06685,5.48,3.02,5.96,-9.07,-1.37
BCT积金之选,"BCT强积金保守基金
",银联信托,货币市场基金 — 强积金保守基金,01-12-2000,"11,229.73",1,0.89678,2.11,3.40,3.18,0.32,0.00
BCT积金之选,"BCT人民币债券基金
",银联信托,债券基金 - 人民币债券基金,04-03-2013,"1,001.26",3,1.22958,5.90,1.05,2.74,-5.48,2.20
BCT积金之选,"BCT储蓄易2025 基金
",银联信托,混合资产基金 - 未分类混合资产基金,27-10-2008,785.06,4,1.23829,9.85,4.37,4.33,-19.94,0.97
BCT积金之选,"BCT储蓄易2030 基金
",银联信托,混合资产基金 - 未分类混合资产基金,27-10-2008,845.99,5,1.48814,19.20,9.53,4.43,-20.55,1.11
BCT积金之选,"BCT储蓄易2035 基金
",银联信托,混合资产基金 - 未分类混合资产基金,27-10-2008,908.09,5,1.49038,20.60,10.53,4.32,-20.82,1.28
BCT积金之选,"BCT储蓄易2040 基金
",银联信托,混合资产基金 - 未分类混合资产基金,27-10-2008,"2,068.94",5,1.48462,21.81,10.97,4.37,-20.85,1.29
BCT积金之选,"BCT储蓄易2045 基金
",银联信托,混合资产基金 - 未分类混合资产基金,23-11-2021,151.08,5,1.54241,21.58,10.81,4.45,-19.86,n.a.
BCT积金之选,"BCT储蓄易2050 基金
",银联信托,混合资产基金 - 未分类混合资产基金,23-11-2021,267.92,5,1.50881,21.86,10.86,4.23,-19.73,n.a.
BCT积金之选,"BCT美国股票基金
",银联信托,股票基金 - 美国股票基金,23-11-2021,"4,853.11",5,0.95380,16.17,21.76,25.10,-22.31,n.a.
BCT积金之选,"BCT世界股票基金
",银联信托,股票基金 - 环球股票基金,28-06-2012,"4,106.96",5,1.02840,19.82,14.76,18.26,-17.76,18.00
BCT强积金策略计划,"景顺65岁后基金
 - 单位类别A",银联信托,混合资产基金 - 预设投资策略-65岁后基金,01-04-2017,792.84,4,0.80013,7.14,3.88,8.53,-15.18,0.69
BCT强积金策略计划,"景顺65岁后基金
 - 单位类别H",银联信托,混合资产基金 - 预设投资策略-65岁后基金,01-04-2017,633.30,4,0.79930,7.14,3.88,8.53,-15.18,0.69
BCT强积金策略计划,"景顺亚洲股票基金
 - 单位类别A",银联信托,股票基金 - 亚洲股票基金,28-09-2007,727.27,6,1.31055,25.39,6.30,1.68,-22.78,-8.05
BCT强积金策略计划,"景顺亚洲股票基金
 - 单位类别H",银联信托,股票基金 - 亚洲股票基金,03-10-2007,953.46,6,1.18727,25.53,6.42,1.80,-22.69,-7.94
BCT强积金策略计划,"景顺均衡基金
 - 单位类别A",银联信托,混合资产基金 - 61% to 80% 股票,29-01-2001,"1,543.29",5,1.28760,20.03,5.50,5.54,-16.36,-0.52
BCT强积金策略计划,"景顺均衡基金
 - 单位类别H",银联信托,混合资产基金 - 61% to 80% 股票,12-02-2001,"1,347.36",5,1.16432,20.17,5.62,5.66,-16.26,-0.39
BCT强积金策略计划,"景顺资本稳定基金
 - 单位类别A",银联信托,混合资产基金 - 21% to 40% 股票,29-01-2001,901.88,4,1.27011,12.08,1.50,5.72,-14.44,-2.49
BCT强积金策略计划,"景顺资本稳定基金
 - 单位类别H",银联信托,混合资产基金 - 21% to 40% 股票,12-02-2001,662.53,4,1.14744,12.22,1.62,5.84,-14.34,-2.37
BCT强积金策略计划,"景顺核心累积基金
 - 单位类别A",银联信托,混合资产基金 - 预设投资策略-核心累积基金,01-04-2017,"1,148.08",4,0.80026,15.80,11.13,16.16,-16.61,10.05
BCT强积金策略计划,景顺核心累积基金 - 单位类别H,银联信托,混合资产基金 - 预设投资策略-核心累积基金,01-04-2017,909.61,4,0.79675,15.80,11.13,16.16,-16.61,10.05
BCT强积金策略计划,"景顺环球债券基金
 - 单位类别A",银联信托,债券基金 - 环球债券基金,05-03-2003,502.99,4,1.25052,5.97,-1.54,5.86,-12.99,-4.10
BCT强积金策略计划,"景顺环球债券基金
 - 单位类别H",银联信托,债券基金 - 环球债券基金,05-03-2003,569.52,4,1.12773,6.09,-1.42,5.98,-12.89,-3.99
BCT强积金策略计划,"景顺环球追踪指数基金
 - 单位类别A",银联信托,股票基金 - 环球股票基金,09-06-2023,98.76,n.a.,1.15221,18.67,15.89,n.a.,n.a.,n.a.
BCT强积金策略计划,"景顺环球追踪指数基金
 - 单位类别H",银联信托,股票基金 - 环球股票基金,09-06-2023,159.49,n.a.,1.14993,18.67,15.89,n.a.,n.a.,n.a.
BCT强积金策略计划,"景顺增长基金
 - 单位类别A",银联信托,股票基金 - 环球股票基金,28-12-2000,"2,956.26",5,1.29723,24.91,7.94,5.63,-17.78,0.94
BCT强积金策略计划,"景顺增长基金
 - 单位类别H",银联信托,股票基金 - 环球股票基金,12-02-2001,"2,899.96",5,1.17397,25.05,8.06,5.75,-17.68,1.06
BCT强积金策略计划,景顺恒指基金 - 单位类别A,银联信托,股票基金 - 香港股票基金（追踪指数）,31-07-2014,427.69,7,0.79266,30.34,21.79,-11.14,-13.17,-12.84
BCT强积金策略计划,景顺恒指基金 - 单位类别H,银联信托,股票基金 - 香港股票基金（追踪指数）,31-07-2014,491.96,7,0.75084,30.40,21.84,-11.10,-13.14,-12.81
BCT强积金策略计划,"景顺中港股票基金
 - 单位类别A",银联信托,股票基金 - 香港股票基金,05-03-2003,"1,635.99",7,1.24992,30.82,12.50,-19.97,-19.68,-18.64
BCT强积金策略计划,"景顺中港股票基金
 - 单位类别H",银联信托,股票基金 - 香港股票基金,03-03-2003,"2,063.31",7,1.12778,30.98,12.64,-19.88,-19.58,-18.54
BCT强积金策略计划,"景顺强积金保守基金
 - 单位类别A",银联信托,货币市场基金 — 强积金保守基金,29-01-2001,"1,438.19",1,0.68966,2.30,3.61,3.57,0.42,0.00
BCT强积金策略计划,"景顺强积金保守基金
 - 单位类别H",银联信托,货币市场基金 — 强积金保守基金,12-02-2001,"1,502.16",1,0.68831,2.30,3.61,3.57,0.42,0.00
BCT强积金策略计划,"景顺人民币债券基金
 - 单位类别A",银联信托,债券基金 - 人民币债券基金,05-03-2013,171.43,3,1.24665,5.94,1.00,2.55,-5.45,2.21
BCT强积金策略计划,"景顺人民币债券基金
 - 单位类别H",银联信托,债券基金 - 人民币债券基金,06-03-2013,248.62,3,1.12379,6.06,1.13,2.67,-5.33,2.34
BCT强积金策略计划,"景顺美国追踪指数基金
 - 单位类别A",银联信托,股票基金 - 美国股票基金,09-06-2023,297.21,n.a.,1.04145,13.60,21.69,n.a.,n.a.,n.a.
BCT强积金策略计划,"景顺美国追踪指数基金
 - 单位类别H",银联信托,股票基金 - 美国股票基金,09-06-2023,437.54,n.a.,1.03905,13.60,21.69,n.a.,n.a.,n.a.
东亚（强积金）行业计划,东亚 (行业计划) 65岁后基金,东亚,混合资产基金 - 预设投资策略-65岁后基金,01-04-2017,"1,147.59",4,0.77571,5.95,3.42,7.57,-14.35,0.97
东亚（强积金）行业计划,"东亚 (行业计划) 亚洲股票基金
",东亚,股票基金 - 亚洲股票基金,31-01-2012,671.28,5,1.29050,33.14,14.05,4.75,-24.41,0.03
东亚（强积金）行业计划,"东亚 (行业计划) 均衡基金
",东亚,混合资产基金 - 41% to 60% 股票,01-12-2000,"1,948.03",4,1.34068,14.64,5.24,5.16,-17.27,-0.67
东亚（强积金）行业计划,东亚 (行业计划) 核心累积基金,东亚,混合资产基金 - 预设投资策略-核心累积基金,01-04-2017,"3,670.22",4,0.77687,12.45,11.36,14.63,-15.96,9.54
东亚（强积金）行业计划,"东亚 (行业计划) 大中华股票基金
",东亚,股票基金 - 大中华股票基金,04-01-2010,980.22,6,1.29682,35.56,15.67,-6.94,-26.93,-4.43
东亚（强积金）行业计划,"东亚 (行业计划) 增长基金
",东亚,混合资产基金 - 61% to 80% 股票,01-12-2000,"3,888.95",5,1.37183,19.60,8.48,5.62,-18.05,1.12
东亚（强积金）行业计划,"东亚 (行业计划) 香港股票基金
",东亚,股票基金 - 香港股票基金,04-01-2010,765.37,7,1.27899,34.21,16.63,-15.36,-24.51,-15.66
东亚（强积金）行业计划,"东亚 (行业计划) 强积金保守基金
",东亚,货币市场基金 — 强积金保守基金,01-12-2000,"3,986.72",1,0.80767,1.92,3.41,3.42,0.35,0.01
东亚（强积金）行业计划,"东亚 (行业计划) 人民币及港币货币市场基金
",东亚,货币市场基金 — 不包括强积金保守基金,03-07-2012,256.40,3,0.79088,4.30,0.14,1.10,-4.05,2.56
东亚（强积金）行业计划,"东亚 (行业计划) 平稳基金
",东亚,混合资产基金 - 21% to 40% 股票,01-12-2000,"3,023.39",4,1.31067,10.11,2.09,4.49,-15.95,-2.33
东亚（强积金）行业计划,"东亚中国追踪指数基金
",东亚,股票基金 - 中国股票基金,31-01-2012,175.47,7,1.17257,24.59,29.45,-12.35,-16.54,-22.11
东亚（强积金）行业计划,东亚香港追踪指数基金,东亚,股票基金 - 香港股票基金（追踪指数）,31-01-2012,205.52,7,0.58317,30.51,21.97,-10.92,-12.99,-12.36
东亚（强积金）集成信托计划,"东亚 (强积金) 65岁后基金
",东亚,混合资产基金 - 预设投资策略-65岁后基金,01-04-2017,"1,039.25",4,0.78021,5.95,3.42,7.59,-14.35,0.96
东亚（强积金）集成信托计划,"东亚(强积金)亚洲股票基金
",东亚,股票基金 - 亚洲股票基金,01-09-2005,"1,524.02",5,1.31850,33.60,14.26,4.82,-24.86,-0.17
东亚（强积金）集成信托计划,"东亚 (强积金) 均衡基金
",东亚,混合资产基金 - 41% to 60% 股票,01-12-2000,"1,840.89",4,1.34166,14.72,5.31,5.18,-17.30,-0.66
东亚（强积金）集成信托计划,"东亚 (强积金) 保守基金
",东亚,货币市场基金 — 强积金保守基金,01-12-2000,"1,833.31",1,0.80857,1.94,3.38,3.40,0.35,-0.01
东亚（强积金）集成信托计划,"东亚 (强积金) 核心累积基金
",东亚,混合资产基金 - 预设投资策略-核心累积基金,01-04-2017,"1,207.65",4,0.77948,12.45,11.35,14.64,-15.96,9.54
东亚（强积金）集成信托计划,"东亚 (强积金) 欧洲股票基金
",东亚,股票基金 - 欧洲股票基金,04-01-2010,206.11,5,1.39690,28.40,1.61,15.56,-13.75,14.37
东亚（强积金）集成信托计划,"东亚(强积金)环球债券基金
",东亚,债券基金 - 环球债券基金,01-09-2005,356.18,4,1.05130,4.67,-2.70,3.85,-15.72,-5.43
东亚（强积金）集成信托计划,"东亚 (强积金) 环球股票基金
",东亚,股票基金 - 环球股票基金,04-01-2010,732.81,5,1.25072,18.21,18.07,20.67,-17.95,17.68
东亚（强积金）集成信托计划,"东亚 (强积金) 大中华股票基金
",东亚,股票基金 - 大中华股票基金,01-12-2006,"1,838.34",6,1.28586,35.62,16.30,-7.27,-26.84,-5.63
东亚（强积金）集成信托计划,"东亚 (强积金) 增长基金
",东亚,混合资产基金 - 61% to 80% 股票,01-12-2000,"3,910.12",5,1.37488,19.65,8.53,5.64,-18.12,1.10
东亚（强积金）集成信托计划,"东亚(强积金)香港股票基金
",东亚,股票基金 - 香港股票基金,01-09-2005,"1,032.81",7,1.28325,34.19,16.65,-15.53,-24.51,-15.76
东亚（强积金）集成信托计划,"东亚(强积金)日本股票基金
",东亚,股票基金 - 日本股票基金,01-12-2006,224.40,5,1.35966,23.71,13.77,21.72,-14.10,3.89
东亚（强积金）集成信托计划,"东亚 (强积金) 北美股票基金
",东亚,股票基金 - 美国股票基金,31-01-2012,"1,143.21",5,1.24901,16.82,20.50,23.07,-19.33,26.17
东亚（强积金）集成信托计划,"东亚 (强积金) 人民币及港币货币市场基金
",东亚,货币市场基金 — 不包括强积金保守基金,03-07-2012,184.56,3,0.79543,4.19,0.43,1.17,-4.15,2.66
东亚（强积金）集成信托计划,"东亚 (强积金) 平稳基金
",东亚,混合资产基金 - 21% to 40% 股票,01-12-2000,"1,866.20",4,1.31468,10.11,2.08,4.49,-16.00,-2.33
东亚（强积金）集成信托计划,"东亚中国追踪指数基金
",东亚,股票基金 - 中国股票基金,31-01-2012,170.41,7,1.19223,24.49,29.29,-12.44,-16.58,-22.21
东亚（强积金）集成信托计划,"东亚香港追踪指数基金
",东亚,股票基金 - 香港股票基金（追踪指数）,31-01-2012,340.93,7,0.59660,30.54,21.80,-10.97,-13.11,-12.43
东亚（强积金）享惠计划,"东亚65岁后基金
",东亚,混合资产基金 - 预设投资策略-65岁后基金,01-04-2017,12.76,4,0.84302,5.92,3.31,7.51,-14.39,0.82
东亚（强积金）享惠计划,"东亚亚洲股票基金
",东亚,股票基金 - 亚洲股票基金,25-10-2012,17.09,5,0.97668,34.32,13.23,4.82,-24.21,-4.33
东亚（强积金）享惠计划,"东亚均衡基金
",东亚,混合资产基金 - 41% to 60% 股票,25-10-2012,20.24,4,0.96420,16.92,6.39,6.45,-17.54,0.76
东亚（强积金）享惠计划,"东亚核心累积基金
",东亚,混合资产基金 - 预设投资策略-核心累积基金,01-04-2017,33.53,4,0.82147,12.38,11.31,14.58,-16.00,9.45
东亚（强积金）享惠计划,"东亚环球债券基金
",东亚,债券基金 - 环球债券基金,25-10-2012,8.90,4,0.92715,4.56,-3.39,3.72,-16.28,-5.92
东亚（强积金）享惠计划,"东亚环球股票基金
",东亚,股票基金 - 环球股票基金,25-10-2012,34.94,5,0.95234,18.19,18.59,21.00,-17.78,17.94
东亚（强积金）享惠计划,"东亚大中华股票基金
",东亚,股票基金 - 大中华股票基金,25-10-2012,34.51,6,0.96335,36.54,16.15,-6.61,-26.34,-3.90
东亚（强积金）享惠计划,"东亚增长基金
",东亚,混合资产基金 - 61% to 80% 股票,25-10-2012,29.93,5,0.97939,22.07,9.74,7.24,-18.74,2.99
